SSN;OPERADORA;UC;MOTIVO_DEVOLUCAO
89550531640018616556;CLARO
89550531640018616952;CLARO
89550537630000071732;CLARO
89550682157000246232;VIVO
89550682157000246257;VIVO
89550682157000246265;VIVO
89550682157000246299;VIVO
89550682157000246349;VIVO
89550682157000246356;VIVO
89550682157000246380;VIVO
89550682157000246430;VIVO
89550682157000246463;VIVO
89550682157000245796;VIVO
89550682157000245457;VIVO
89550682157000245465;VIVO
89550682157000245499;VIVO
89550682157000245507;VIVO
89550682157000245564;VIVO
